"CED","Family1Child","Family2Children","Family3Children","Family4Children","Family5Children","Family6PlusChildren","FamilyChildrenNA","HHInc_Negative","HHInc_Nil","HHInc_1_149","HHInc_150_299","HHInc_300_399","HHInc_400_499","HHInc_500_649","HHInc_650_799","HHInc_800_999","HHInc_1000_1249","HHInc_1250_1499","HHInc_1500_1749","HHInc_1750_1999","HHInc_2000_2499","HHInc_2500_2999","HHInc_3000_3499","HHInc_3500_3999","HHInc_4000_4499","HHInc_4500_4999","HHInc_5000_5999","HHInc_6000_7999","HHInc_8000_Plus","HHInc_Partial","HHInc_All_incomes_not_stated","HHInc_NA","HHTotal","Rent_Nil","Rent_1_74","Rent_75_99","Rent_100_124","Rent_125_149","Rent_150_174","Rent_175_199","Rent_200_224","Rent_225_249","Rent_250_274","Rent_275_299","Rent_300_324","Rent_325_349","Rent_350_374","Rent_375_399","Rent_400_424","Rent_425_449","Rent_450_549","Rent_550_649","Rent_650_749","Rent_750_849","Rent_850_949","Rent_950_Plus","Rent_Not_stated","Rent_Not_applicable","Age_0_4","Age_5_9","Age_10_14","Age_15_19","Age_20_24","Age_25_29","Age_30_34","Age_35_39","Age_40_44","Age_45_49","Age_50_54","Age_55_59","Age_60_64","Age_65_69","Age_70_74","Age_75_79","Age_80_84","Age_85_89","Age_90_94","Age_95_99","Age_100_Plus","NeverMarried","Widowed","Divorced","Separated","Married","MaritalStatusNA","Male","Female","Population","Ed_Postgraduate_Degree","Ed_Graduate_Diploma_and_Graduate_Certificate","Ed_Bachelor_Degree","Ed_Advanced_Diploma_and_Diploma","Ed_Certificate_III_IV","Ed_Secondary_Education_Years_10_and_above","Ed_Certificate_I_II","Ed_Secondary_Education_Years_9_and_below","Ed_Supplementary_Codes","Ed_Not_stated","Ed_Not_applicable","LabourForceStatus_Employed_worked_FT","LabourForceStatus_Employed_worked_PT","LabourForceStatus_Employed_away_from_work","LabourForceStatus_Unemployed_looking_for_FT","LabourForceStatus_Unemployed_looking_for_PT","LabourForceStatus_Not_in_the_labour_force","LabourForceStatus_Not_stated","LabourForceStatus_Not_applicable"
"Rankin",12756,11671,4552,1742,546,427,35092,126,696,344,934,1192,3030,2283,3988,4185,5118,4995,3961,3629,6687,4076,2253,1531,680,538,464,237,42,4324,1128,6640,63103,299,163,210,484,311,485,362,483,396,1305,1059,2555,2214,2517,2013,1996,816,1560,307,85,18,13,28,529,42890,14609,14263,12628,12541,12835,13810,14650,13235,12061,11302,10438,9807,8526,7359,4744,2878,1748,1073,535,107,15,50213,5348,11502,5393,65207,41498,88622,90547,179171,5080,1668,16056,11747,23567,51056,162,10303,5330,12702,41498,49501,23799,4087,5067,3080,43913,8224,41498
"Ryan",8954,10393,3658,705,128,41,36242,105,1078,373,825,859,1926,1786,2219,2649,3518,3315,3067,2902,5864,4053,3125,3208,1878,1852,1905,1578,240,4653,797,6226,60009,392,65,82,242,162,326,252,372,296,481,313,841,726,1385,1312,1694,871,3564,1586,654,356,161,238,343,43278,8323,10052,9777,12306,16667,10872,9820,10061,11113,10703,9391,8211,7408,6820,5119,3532,2315,1715,897,233,30,50722,4814,8071,2669,60930,28141,75922,79421,155348,14121,4559,33157,11623,12192,36635,29,3680,2883,8320,28141,46454,26695,3456,2606,3353,38509,6124,28141
"Wide Bay",8778,7021,2879,882,203,120,44799,171,615,481,1462,2055,5643,3378,6279,4925,5454,4484,3063,2731,4058,2222,1246,955,418,385,309,304,45,4056,2180,12761,69693,641,171,250,612,335,739,707,1282,1151,1867,965,1298,659,691,424,568,277,976,386,187,83,42,123,523,54746,7052,8678,9291,8152,6048,5785,6370,7200,8792,9879,10636,11377,11372,11671,8910,5829,3664,2181,958,227,37,34023,7354,14090,4846,58774,25020,71336,72763,144096,2041,1654,10144,10033,23761,40774,129,11636,3746,15162,25020,29207,20769,3087,3424,1899,51430,9265,25020
"Wright",9792,9661,4043,1310,302,178,34388,126,456,317,714,991,2982,2015,3755,3361,4123,3944,3239,3191,5754,3720,2278,1487,787,662,516,377,61,4340,1431,7106,57711,544,83,69,208,123,269,237,561,390,910,842,1090,517,901,546,814,368,1060,323,131,40,27,33,353,47272,9525,11596,11791,10953,8751,7985,8889,9638,11473,11951,11593,10374,9194,8623,6081,3760,2251,1269,591,142,18,38828,5043,10915,4562,64190,32906,77958,78483,156442,2371,1593,10794,10645,25946,43568,100,10577,3819,14108,32906,43676,22965,3998,2964,1925,39146,8852,32906
"Adelaide",10020,8806,2560,515,116,75,50001,200,1589,637,1875,2377,4234,2963,4030,4127,4983,4466,3740,3358,6222,3608,2526,2801,1242,1345,1345,1201,159,4533,1520,11259,76323,594,399,914,1346,593,967,713,1051,1055,2040,1691,2479,1508,2027,1494,1713,734,2419,813,356,184,87,148,766,50233,8360,8169,7473,9374,15579,14976,13760,11310,10309,10291,10013,9874,8915,7959,5455,4127,3194,2591,1320,339,31,58309,7018,11952,3619,58531,24004,81061,82376,163440,11868,4132,31861,11840,13684,40256,82,8667,5055,11999,24004,45882,27080,3706,3624,3095,47867,8178,24004
"Barker",8579,7780,3286,880,191,83,44103,169,517,530,1644,2329,5900,3311,6078,4990,5539,4786,3384,3143,4866,2528,1247,875,348,355,252,288,45,3840,1994,16256,75232,1054,440,771,1431,1155,1935,1660,2094,1312,1599,639,622,204,217,64,68,14,56,34,30,14,11,48,718,59068,8290,9313,9252,8880,7550,7833,8125,8094,9077,10376,10583,10747,10443,10055,7483,5526,3801,2606,1145,289,28,36944,8195,11269,4304,61928,26857,75469,74032,149501,1238,1268,8224,8053,22907,46143,155,15599,4022,15023,26857,38914,23027,4024,2590,1438,44843,7803,26857
"Boothby",9711,9906,3022,558,127,47,37175,100,541,441,1139,1513,3636,2661,3822,3779,4636,4138,3300,3117,5741,3969,2650,1883,1087,977,836,616,69,4125,1023,6378,62167,358,157,377,590,356,594,363,544,528,972,797,1259,854,1201,787,899,380,787,239,104,49,30,55,436,49460,7736,8376,8250,9326,9433,8287,8706,8913,9625,9876,9829,9943,9051,8607,6516,4756,3694,2921,1569,378,37,38963,7298,10500,2993,61718,24357,70245,75588,145832,7445,3590,23698,12198,17282,37688,57,7132,3961,8424,24357,38916,26524,3487,2269,2331,42879,5072,24357
"Grey",8005,6809,3004,919,206,82,46286,171,597,591,2026,2671,6063,3201,5864,4552,5027,4227,2896,2798,4623,2509,1428,1099,448,440,245,293,45,4138,2782,23339,82086,1266,825,1344,1789,1044,2040,1776,1941,986,1492,643,806,242,270,94,116,31,94,48,37,29,13,57,1021,64085,8354,8881,8645,7821,7171,7966,8076,7466,8295,9655,10360,10907,10170,9512,7681,5370,3581,2336,989,254,28,38050,8255,10814,4259,56272,25880,72951,70570,143524,1049,1157,7703,7064,22772,44232,140,14015,3190,16318,25880,33647,20025,3885,3364,1617,45886,9224,25880
"Hindmarsh",10150,8869,2535,440,114,50,46076,144,753,513,1589,2332,5020,3278,4875,4731,5407,4386,3643,3247,5978,3726,2466,1829,908,825,759,477,65,4076,1529,9750,72304,443,365,890,1228,540,854,645,1138,1080,1977,1629,2124,1133,1539,898,1062,463,1315,416,173,84,52,51,663,51549,7861,7435,6817,8021,10664,11019,10999,9733,9397,9986,9885,9734,8937,8462,6642,5398,4562,3433,1806,404,43,45392,8854,12030,3600,59262,22115,73268,77976,151244,6222,2726,21508,11955,18743,42605,62,10099,4437,10778,22115,41733,26154,3662,2894,2382,45715,6594,22115
"Kingston",10843,9943,3172,805,174,67,37303,108,431,365,1263,1775,4526,3270,5336,4951,5634,4828,3794,3304,5592,3066,1548,817,399,261,176,90,26,3790,1246,7425,64026,199,181,597,676,322,532,431,647,583,1599,1876,2520,1321,1265,504,422,116,164,55,23,10,8,25,428,49521,9593,9670,8877,8983,9062,9324,10285,9576,9744,9909,9677,9562,9140,8701,6011,4011,2854,1863,835,205,18,40729,6016,12815,4337,55874,28145,72305,75602,147907,2033,1570,10779,10676,26705,45046,109,8521,3875,10448,28145,37653,24587,3736,3445,2242,41915,6187,28145
"Makin",10475,10088,3270,792,179,94,35954,120,548,336,1033,1485,3862,2590,4718,4401,5381,4621,3744,3470,6057,3629,2038,1250,590,453,380,160,21,3714,1073,5512,61190,247,152,433,565,246,406,315,535,399,1020,1206,2250,1264,1302,585,324,128,312,66,19,7,6,18,393,48995,8976,9178,8613,9242,9682,9752,10589,10151,10051,10238,9894,9267,8485,8410,6342,4551,3073,1963,848,189,22,39395,6791,10500,3874,62186,26770,73854,75665,149515,3666,1869,13847,11213,23953,44950,118,9338,4265,9529,26770,41927,24132,3381,3242,2314,42893,4856,26770
"Mayo",8197,8549,3190,765,128,64,37602,110,409,415,1053,1511,4090,2819,4818,4162,4869,4071,2985,2988,4966,3106,1834,1411,733,691,572,386,69,4256,1197,14565,68090,531,134,182,395,227,474,381,695,583,1114,945,1140,684,706,347,361,119,292,101,35,18,8,35,331,58239,7132,8664,8765,8508,6495,5601,6340,7230,9008,9982,10069,10775,10450,10787,8131,5343,3519,2291,997,262,29,31276,6496,11069,3384,63591,24554,68767,71593,140368,4012,2663,15446,11463,21293,38179,88,7945,3823,10902,24554,34450,25196,3765,1845,1632,42574,6351,24554
"Port Adelaide",12543,10481,3535,1027,294,165,41561,158,710,525,1918,2589,5311,3353,5530,5173,5952,5044,3840,3473,5803,3314,1716,1043,398,315,257,163,20,4099,1619,7879,70182,420,379,1168,1384,618,988,728,1235,1202,2161,1911,2651,1260,1404,717,628,197,396,110,36,16,11,29,739,49799,10517,10225,9428,10163,11289,11728,12804,10978,10848,11564,11495,10995,9039,7591,5242,4326,3240,2218,1141,225,37,50673,8028,13610,5097,57507,30170,81236,83847,165088,3194,1629,13385,9724,22781,50883,174,14773,6294,12073,30170,42573,24371,3791,4490,2874,49947,6870,30170
"Sturt",10195,10032,3047,580,93,42,39498,142,865,461,1294,1887,4434,2767,4311,4127,5010,4093,3310,3129,5637,3487,2410,1952,983,995,906,750,110,4023,1198,7242,65521,452,191,559,815,384,564,416,651,669,1429,1247,1868,1116,1431,817,828,313,875,280,113,61,25,48,509,49873,7905,8319,8276,9187,9293,9210,9592,9413,9787,10331,9631,9038,8112,8183,6950,5888,4492,3374,1722,412,47,39147,8711,10304,2986,63519,24497,71450,77713,149159,8823,3328,25482,11433,14677,38296,57,9482,4285,8816,24497,39181,25583,3066,2580,2443,46818,4997,24497
"Wakefield",11403,9912,4195,1400,432,244,41431,167,506,481,1770,2435,5323,3689,5975,5300,5942,4997,3748,3405,5363,2770,1525,916,397,302,205,176,31,4219,1739,8755,70136,466,363,800,1143,606,1034,1115,2104,1928,3041,2122,1995,684,555,175,179,30,150,44,14,19,7,32,654,50892,12251,12185,11004,11019,11492,11372,11220,9730,10308,11155,11599,10853,9073,7831,6020,4546,3351,2079,883,217,25,48334,7555,12728,5520,58633,35445,83651,84557,168207,1404,1165,8236,9328,26439,53134,231,13770,4797,14267,35445,39831,23488,4003,4860,2607,49612,8365,35445
"Brand",11080,10858,4175,1210,276,131,35890,121,681,310,1031,1334,3131,2277,3580,3297,4220,3859,3521,3339,6640,3957,2397,1934,986,829,645,333,52,6141,1193,10425,66236,306,80,104,398,217,402,216,480,375,1004,739,1690,1058,2227,1412,1763,507,990,155,42,21,7,40,380,51629,12804,12806,10980,10507,11387,12545,13259,11536,11621,11416,10431,8625,7101,6192,4826,3550,2400,1398,485,145,4,45361,5108,10999,4815,61152,36599,81996,82031,164025,2118,1529,10999,10938,28494,46822,82,7377,3874,15194,36599,45364,21939,4337,5199,2770,38125,9696,36599
"Burt",12443,11619,4194,1261,368,164,34798,132,752,382,1030,1159,2942,2125,3523,3490,4619,4462,3795,3423,6920,4200,2567,1950,1015,818,644,354,44,5046,1142,7761,64283,324,97,131,380,223,370,254,391,227,656,609,1664,923,1647,877,1277,455,1637,267,49,19,5,38,395,51377,13441,12459,10908,10903,11637,13299,14799,13213,11645,11037,10282,8798,8064,6706,4419,3255,2074,1224,482,127,6,45513,5033,10090,4226,67105,36808,84525,84254,168783,4750,1730,16798,11534,23424,48439,119,8152,4730,12292,36808,48394,24417,4146,4971,3053,39721,7274,36808
"Canning",9037,8604,3298,980,242,95,37403,151,702,409,1031,1463,3836,2442,4349,3323,4087,3451,2744,2769,5274,3173,1955,1855,967,838,644,441,74,5491,1479,14329,67286,472,72,109,357,182,493,281,565,369,855,715,1489,782,1475,813,1046,295,781,197,55,19,7,40,329,55488,9135,9838,9150,8883,8056,8165,8811,8359,9243,9866,9891,9346,9004,9189,7136,5523,3456,1993,792,179,16,35063,6283,11176,4337,61040,28118,72128,73890,146016,1748,1437,9635,10022,25604,43722,93,8605,3774,13264,28118,36012,20429,3932,4045,2137,43293,8052,28118
"Cowan",10413,10984,3818,1078,323,189,28435,116,509,318,835,997,2579,1739,2969,2831,3785,3593,3164,3147,6063,3919,2519,1775,944,752,574,342,34,4484,983,5298,54266,304,81,87,455,163,293,151,223,108,227,171,689,421,1126,727,1315,464,1849,335,62,17,17,16,319,44638,10598,10744,9992,10285,9725,10000,11372,10798,10612,10595,9655,8610,7136,6308,4256,3033,1963,1204,518,122,13,39050,4799,9157,3607,59592,31331,73347,74189,147537,2581,1566,13730,10175,21380,44178,95,7950,4990,9559,31331,42415,23480,3802,3851,2460,34566,5631,31331
"Curtin",8029,8924,3373,555,69,16,39227,128,855,426,970,1268,2451,1870,2239,2365,3172,2860,2488,2499,5033,2996,2366,4041,2171,2271,2564,2679,401,4959,1142,10472,64691,580,129,175,721,220,350,213,422,335,752,611,1210,601,978,617,1182,477,2703,1593,934,688,396,910,422,47469,7402,8567,9087,9048,9932,10983,10473,9281,9464,9968,9100,8496,7663,6774,5502,4297,3226,2268,1195,329,27,43692,5807,9363,2588,56580,25063,69526,73566,143092,12575,4436,35015,10691,8940,28586,27,3892,3045,10820,25063,41370,24914,3049,2211,2357,36168,7955,25063
"Durack",9160,8602,3926,1252,308,193,54962,217,815,578,1459,1773,3605,2403,4426,3846,4854,4226,3356,3619,7349,3879,2835,3217,1327,1522,1153,1018,165,5727,3749,23650,90783,3026,3626,1146,2336,1126,1543,1178,1721,831,1651,901,1713,557,1123,422,871,167,1312,687,485,314,160,454,2457,60991,13213,13316,11058,9295,10185,14815,16166,14041,13731,13493,13063,11818,9387,6909,4658,3033,1939,1093,416,118,19,57715,4867,11773,5299,64525,37587,98703,83063,181762,2062,1802,12294,9675,29887,48853,136,9750,4125,25587,37587,58595,19302,6326,4045,1645,35925,18342,37587
"Forrest",8868,9027,3438,862,181,69,37851,134,572,392,1066,1540,3569,2502,4203,3645,4093,3759,3093,3075,5527,3344,2096,1605,740,738,530,388,61,5409,1447,15378,68904,650,134,139,703,297,693,386,710,387,1017,759,1755,979,1641,1014,1262,408,864,133,35,19,11,63,469,54385,9578,10613,10251,9157,6748,7936,9263,9550,10334,10594,10010,9972,9183,8609,6073,4314,2832,1777,784,168,11,35984,5813,10910,4050,60555,30447,72883,74887,147770,1893,1839,12241,9801,24878,41024,62,8024,3809,13754,30447,37456,23997,4430,3012,1884,37778,8778,30447
"Fremantle",10315,9977,3125,637,130,51,37728,125,644,362,1208,1469,3052,1956,3003,2885,3678,3384,3049,3080,6166,4176,2878,2744,1373,1247,1153,790,90,5143,1226,9973,64846,415,188,229,889,321,485,273,404,199,479,351,941,566,1335,922,1674,637,2637,805,310,164,84,114,473,49964,9968,9494,8309,8461,9128,11056,12368,11577,11056,10895,9824,8965,7701,6565,4585,3570,2682,1670,695,174,12,43897,5398,10833,3657,57189,27764,72860,75875,148741,5768,2994,20650,11152,20037,36588,44,7574,4064,12101,27764,45161,24239,3978,3522,2338,33199,8540,27764
"Hasluck",9743,9053,3308,904,215,117,33858,124,586,362,960,1185,2940,1930,3258,3077,4014,3579,3084,2912,5691,3562,2208,1911,988,865,721,475,87,4823,1134,7373,57864,399,98,89,405,243,363,191,306,159,414,405,1121,638,1411,836,1041,320,1084,221,69,29,16,30,355,47608,8913,9259,8915,9290,9031,9282,10128,9552,9946,10338,9892,9096,8125,7665,5365,3870,2635,1533,613,169,8,39065,5314,10286,4021,57844,27090,72878,70745,143625,3352,2016,13830,10606,21627,40391,65,7439,4116,13091,27090,40480,21605,3737,3691,2128,37612,7275,27090
"Moore",9365,11297,3727,693,100,40,28345,92,507,288,626,728,1962,1455,2390,2430,3130,2840,2574,2585,5744,4166,2944,2818,1750,1661,1399,887,133,4985,815,5635,54543,225,40,43,121,78,130,116,143,54,141,92,401,227,815,697,1205,472,1898,733,367,182,74,81,196,46020,7903,9577,9478,9994,9200,7487,7998,8702,10140,10952,10768,10304,8876,7528,4514,2826,2057,1261,549,123,13,34967,4210,8117,2878,63127,26960,69541,70719,140262,4411,2797,19695,12551,20487,37546,45,4552,3702,7515,26960,42544,26093,3655,2870,2438,31141,4568,26960
"O'Connor",8587,7884,3545,1092,234,95,44260,159,588,487,1300,1883,4241,2604,4456,3706,4576,3986,3148,3239,5792,3328,2105,1817,772,823,552,537,74,4939,2192,17960,75247,1754,614,380,1185,675,1318,913,1519,815,1570,895,1600,604,954,424,535,158,487,142,38,21,11,49,862,57735,10028,10887,10133,9204,7823,9360,9818,9244,10105,10978,11305,11424,10110,9048,6412,4621,3031,1816,762,198,12,41259,6584,11197,4668,61569,31046,79765,76559,156319,1747,1664,10392,8780,23773,45990,109,10289,3877,18647,31046,43205,21476,4916,2874,1348,39161,12294,31046
"Pearce",11985,12638,4677,1359,275,187,38146,145,654,410,941,1126,2740,2154,3522,3417,4475,4425,3870,3846,7849,4730,2844,2300,1118,952,760,435,66,6589,1182,12435,72972,506,95,93,327,192,349,240,458,214,510,396,1247,812,1860,1212,1770,574,1513,402,123,50,25,61,350,59592,14391,14198,13067,12246,11766,13893,14339,12822,13542,13375,11534,9420,7776,7142,4963,3483,2116,1131,437,114,4,48243,4498,11195,5066,71106,41654,89971,91796,181766,2781,1798,13781,13413,29550,50703,80,7176,4648,16172,41654,52937,26501,5046,4607,2898,37665,10453,41654
"Perth",9289,7606,2154,413,98,31,49162,168,1025,476,1358,1705,3310,2169,3191,3276,4118,3778,3427,3236,6882,3851,2876,3535,1517,1610,1446,1259,104,4814,1383,13818,74330,545,176,263,848,326,566,304,649,415,995,812,1700,927,1925,1307,2230,906,4328,1722,623,311,140,212,633,51452,8159,7196,6090,6790,11078,16448,16468,12216,10401,9828,9215,8625,7736,6568,4611,3642,2720,2030,1018,220,27,54612,5870,11159,3579,54419,21447,75453,75637,151089,8610,3701,29283,12057,15863,34743,53,6465,4048,14824,21447,50261,24188,3835,3636,2543,33922,11255,21447
"Stirling",10079,8716,2732,581,173,93,41921,155,744,446,1158,1734,3639,2460,3683,3586,4567,4083,3386,3115,6024,3469,2479,2376,1246,1239,1057,842,105,4464,1328,9819,67215,477,189,191,891,353,533,294,473,282,771,665,1969,1171,2348,1520,1994,527,1899,696,382,152,69,92,555,48731,9593,8419,7334,7428,9359,13401,14170,10998,10206,9408,8696,8196,7469,6892,5376,4505,3347,2113,871,202,4,43966,6196,10868,3599,58014,25340,72602,75393,147993,5738,2741,23064,11989,16814,37340,86,8102,5040,11722,25340,43583,24026,3578,3554,2442,37518,7966,25340
"Swan",9966,7955,2454,605,133,91,50135,186,1211,560,1491,1810,3686,2426,3427,3608,4788,4074,3601,3417,6630,3834,2764,2873,1285,1254,1180,907,114,5041,1355,13606,75134,622,285,314,1276,568,807,421,683,429,871,761,2012,1189,2606,1762,2732,999,3693,1040,418,210,114,163,744,50418,9806,8197,7030,8615,15575,17871,16656,12504,10255,9668,8953,8653,7712,6608,4673,3815,2863,2249,1178,292,22,57306,6612,11817,3976,58460,25033,82162,81047,163199,8785,3171,27500,12562,17247,41355,83,6859,4412,16192,25033,48884,25615,4024,4367,3398,39973,11903,25033
"Tangney",8956,10188,3321,645,107,36,30526,97,741,387,841,1009,2558,1793,2613,2524,3304,2891,2496,2429,4985,3350,2437,2717,1658,1651,1493,1173,195,4399,937,6289,54962,429,69,88,374,163,224,105,229,99,246,166,573,393,869,617,1156,454,2147,884,363,170,93,176,293,44580,6641,8438,8905,9724,9188,7608,7478,8140,9180,9604,9249,9026,8613,7597,5343,4102,3215,2421,1227,314,17,34816,6095,7632,2449,61055,23980,66123,69916,136035,7620,3310,25549,11317,13100,33726,36,5464,3720,8212,23980,37189,23920,2859,2674,2566,37830,5018,23980
"Bass",6393,5542,2068,590,135,63,29263,82,411,288,1301,1651,3884,2513,3947,3235,3649,3011,2320,2035,3284,1822,960,685,287,284,257,179,30,2606,1105,7589,47431,373,302,416,676,621,1080,1108,1615,923,1398,919,1054,404,389,152,178,49,135,33,16,3,3,20,383,35182,5776,6307,6000,6571,6999,5894,5914,5656,6249,6850,6816,6896,6366,6026,4735,3385,2402,1646,743,147,14,28932,5583,8308,2822,37668,18080,49290,52101,101389,2164,1233,9135,5941,14639,29568,97,8615,2658,9257,18080,24228,16226,2504,2141,1517,31054,5641,18080
"Braddon",6199,5118,2026,588,151,70,28701,74,324,291,1158,1730,4331,2457,4148,3297,3573,2999,2116,1973,2984,1556,814,564,242,204,113,157,20,2626,1314,7720,46781,493,338,423,822,665,1108,1051,1738,1074,1462,636,510,124,161,45,53,7,38,12,12,8,0,12,416,35575,5462,6114,5867,6006,5187,4999,5095,5085,5734,6554,6996,7215,6756,6479,4975,3686,2558,1478,662,142,8,25108,5774,8210,3069,37447,17442,47254,49808,97058,1026,905,5615,5451,15988,28427,110,10431,2320,9344,17442,22223,14613,2552,2160,1162,31917,4984,17442
"Denison",6688,5411,1866,473,126,56,30926,82,453,305,1085,1521,3286,2395,3140,3090,3680,3177,2457,2201,3745,2153,1396,1166,517,510,516,363,38,2815,1010,6165,47255,295,214,454,807,467,776,745,1136,800,1403,1109,1444,677,849,455,481,209,731,251,79,34,9,31,353,33427,5371,5827,5605,6279,7694,7633,6882,6152,6546,6723,6811,6987,6228,5520,4110,3133,2377,1674,822,184,19,34076,5256,8737,2797,34911,16801,49819,52756,102574,5731,2470,14748,6463,11845,26815,85,6762,2499,8345,16801,26121,17666,2481,1758,1754,30551,5434,16801
"Franklin",6838,6412,2281,612,131,58,27595,66,273,249,804,1271,3104,2129,3316,3146,3713,3171,2595,2293,4119,2420,1451,978,435,389,300,201,36,2809,965,6553,46774,337,137,248,429,241,428,377,627,491,952,765,1070,532,668,341,310,95,250,51,23,4,0,14,238,38144,6222,6770,6402,6112,5074,5322,6158,6162,6753,7182,7114,7745,7145,6820,4943,3691,2430,1533,683,162,18,26572,5089,8782,2736,41858,19401,50824,53618,104446,3189,1978,11421,7666,15186,27832,63,6893,2734,8076,19401,26265,17502,2626,1427,1160,31881,4197,19401
"Lyons",6432,5405,2101,655,143,87,30111,86,338,327,1166,1718,4190,2485,4421,3604,3808,3187,2259,1995,2953,1546,743,558,200,176,112,142,25,2926,1358,13953,54259,722,271,273,571,351,775,813,1297,769,1127,587,586,167,229,76,60,14,43,19,8,8,6,21,375,45097,5595,6472,6339,6045,4816,4737,5182,5188,6143,7127,7726,8481,8222,8043,5640,3711,2218,1235,474,111,7,26305,5243,9098,3184,41277,18407,51720,51791,103509,1262,923,5928,5913,16466,30470,94,10537,2559,10953,18407,22813,15492,2976,2066,1126,34307,6326,18407
"Lingiari",6250,5341,2540,1057,389,311,28181,76,336,313,721,702,1421,1001,1830,2025,2526,2414,1917,1981,3744,2302,1621,1385,662,629,540,420,56,3089,2243,10064,44021,2232,3511,1142,883,429,566,376,500,304,452,216,479,170,420,236,465,166,1010,459,209,109,30,104,1807,27756,8814,9114,8365,7810,8324,9792,9758,8450,8132,8496,7842,6703,5308,3528,2050,1092,572,276,83,23,3,36960,3146,5943,3176,39025,26300,60054,54494,114543,1876,1326,6882,4970,13196,24932,273,10753,3366,20672,26300,30390,9028,3308,3561,1085,27942,12947,26300
"Solomon",7251,6240,2337,710,165,77,30200,66,292,156,445,757,1138,845,1247,1482,2223,2299,2204,2351,5122,3255,2579,2805,1226,1225,1322,870,137,3616,1214,8561,47443,534,522,517,434,247,276,200,345,517,725,271,842,479,1058,621,1243,447,3597,2311,1209,532,245,317,933,29014,8886,7768,6751,6324,8264,11822,11561,9565,8417,7891,6979,6159,5030,3783,2215,1423,702,398,135,35,0,38443,2468,7378,2827,39599,23406,58524,55591,114116,4407,2190,13946,7862,16352,26139,87,4722,2666,12351,23406,44011,12597,3830,1912,1078,17769,9516,23406
"Canberra",12664,12200,4023,929,194,84,50027,98,593,367,937,1395,2541,1966,2747,3251,4389,4608,4316,4036,9261,5657,4596,4921,2355,2731,2370,2264,229,5356,1182,10744,82912,479,387,752,1032,491,605,366,551,406,627,437,1000,752,1586,1377,2226,1109,4002,1521,578,292,173,249,680,61225,11527,11709,10872,12977,14656,14719,14447,13100,13156,13482,13520,12603,10708,9617,6918,4901,3368,2290,1151,271,33,60036,7164,13548,4251,76921,34110,96423,99619,196042,16100,6687,34950,14947,17747,45751,84,7438,4584,13647,34110,67428,27611,5838,2293,2520,46356,9882,34110
"Fenner",13413,13518,4153,958,188,98,49592,94,680,362,957,1357,2353,2017,2769,3258,4798,5017,4853,4278,9706,6528,5028,4746,2262,2484,1880,1468,130,5216,971,8669,81872,471,304,646,989,507,601,424,564,513,695,582,1846,1414,2292,1887,2469,1222,4362,1538,459,161,61,126,699,57041,15367,13846,11500,11607,16768,17793,19231,17164,15162,13211,11040,9897,8563,7799,5354,3700,2512,1539,742,151,13,62513,5485,11933,3935,78377,40707,100045,102910,202954,18722,6742,36843,14943,17739,44026,92,7195,4467,11477,40707,70199,29725,5730,2580,2794,42531,8688,40707
